,MOp,MOs,RSPagl,RSPd,SSp-bfd,SSp-ll,SSp-m,SSp-n,SSp-tr,SSp-ul,SSp-un,VISa,VISal,VISam,VISp,VISpm,VISrl
MOp,2.4332784345427503,0.6197044877104688,0.028825224885780085,0.003877501187471448,0.09712878902600465,0.6783032381466069,0.1387078861978756,0.06589907219324866,0.10039654834000689,0.8083234783350387,0.09366787677618377,0.04066441691687337,0.003158551244332677,0.0022573456872386766,0.003737919615207381,0.0007357574222803175,0.0037071466620912544
MOs,1.1548132072498754,3.4377839171415094,0.031193985606115814,0.0943908456231229,0.4545854091450795,0.07954592774737441,0.10167515161820946,0.17144117298076864,0.05040735450739276,0.1875882425070358,0.0899855787732973,0.1038829078534401,0.030347531730938786,0.029164782740431765,0.06908014956473471,0.013795557285629709,0.10841347659016057
RSPagl,0.007053986485190761,0.01932312236101618,2.02746999244522,2.10943535972074,0.0067191624786130996,0.003276688488189859,0.0072739693263776635,0.004792387965925651,0.003313909027493111,0.0019242679521497823,0.0004037214654961344,0.04472810768469375,0.047227944391958654,0.1611474539683975,2.3236479218783552,0.4897939431684775,0.00317542047411553
RSPd,0.010453155945775528,0.12231442861191566,0.46803634525480503,1.9950080392273153,0.005174850564968808,0.0005960695622532112,0.002981566603202007,0.0017080251024063637,0.00331201128768543,0.0009665270186836548,0.00017487985249822185,0.06709594162507825,0.04310071031782362,0.17136579018207443,0.7173527921455533,0.24614159648207004,0.022960965616761222
SSp-bfd,0.5710297145901768,0.8013989774664652,0.029628858306551518,0.043480332525157685,2.838863399260659,0.09486117876485436,0.06396521498687753,0.3824478927514027,0.12319208182933679,0.28510423413388497,0.3644450705908198,0.2693787343377765,0.0953172496276216,0.04339865956411074,0.06954195359548512,0.02856566220624501,0.19211461689889364
SSp-ll,1.038532345058477,0.22250862469312874,0.03677897006956316,0.006647661016298212,0.24153893972098422,2.424104401378117,0.014387176752559626,0.020619455462698166,0.2944890535759116,0.9004992236975898,0.11484685720982107,0.045670584681598306,0.008055249814335657,0.0026093322458724676,0.01145352423098865,0.0013698950367559547,0.012116489698016625
SSp-m,1.5810392608533457,0.7492943129028308,0.00020734051890042846,0.0009673009198258949,0.03347298718175842,0.0010379321757929367,2.5218936806736547,0.42834925097251814,0.00011297872054155942,0.3748019079647309,0.2704291487820512,7.289667959811169e-05,6.219921777564427e-05,2.9934435939685035e-05,0.0007625031388521375,9.772294925256346e-05,9.423863463139198e-05
SSp-n,2.003607327830162,2.106854192888036,0.0009240876239009361,0.0016912197230187955,0.6386034763376002,0.009081031911585217,1.1397621252333296,2.739818753237005,0.0004465708059516408,0.5035272015878012,0.5620005143060693,0.0005552049955515832,0.00021137250422366795,0.00021560086932529137,0.0014247807135722706,4.560994244798267e-05,0.0004819978963206402
SSp-tr,,,,,,,,,,,,,,,,,
SSp-ul,1.566415402314064,0.6168883317813847,0.0016131318777385009,0.0017684646286740548,0.060957808716305004,0.16600066330768176,0.2743274935919978,0.12222531444759878,0.005580836925461501,2.2919533147583486,0.15821779440984546,0.003790256571003747,0.0001633897781556735,0.0002753513373072572,0.002505693056189692,0.0003376644123700559,0.0004962568911539885
SSp-un,0.00613748030191958,0.00722434446932534,0.000540241290180463,0.00112035635015973,0.319132816118557,0.000714431348092972,0.0154159222057482,0.451199940917686,0.000489640862371677,0.0102732632196934,0.177064428860137,0.000474584921415443,7.2160073997292e-05,1.46945183977767e-05,0.00171584013454653,5.94134140722762e-05,0.000117564729863223
VISa,0.0615733089654679,0.17815167624773082,0.14211456716471985,0.1934112960259803,0.13191893294490026,0.0243866079884294,0.0670083793533667,0.02378962541935465,0.11257143393853859,0.0131440122901152,0.0117972926245408,1.6098432987483304,0.118210071136019,1.2684903904519,0.35429941525554953,0.25869766364686353,0.12021693331287839
VISal,0.11632440435804771,0.7930659365632133,0.3459100357451568,0.48443109399472567,0.7259250806910444,0.04384046255307094,0.018804801234759996,0.005823763895077801,0.09215081926088635,0.021916827335005315,0.014855121668112465,0.6305638638478892,0.9249633446382811,0.7316608333279478,2.602587345485772,0.8135311886961388,1.0424178030620825
VISam,0.1416268476172984,0.6815042533188909,0.7604963159942679,1.2121272834191852,0.35336241626850046,0.0734622759393614,0.008381353784334588,0.00521831517383863,0.20053990959174262,0.03790171606019109,0.022086696634004425,0.8119605622751405,0.41214899035618086,1.0791968863933004,1.7207657550818474,0.9157994311903944,0.3365316179718169
VISp,0.019670104020138735,0.057338169748475165,0.2801321029053785,0.36326263151865285,0.05474085332277562,0.005242625063749664,0.012097436476318677,0.005080546505889533,0.00726884241632796,0.004661962390397016,0.0018795760237404937,0.033946798292616286,0.15094560600074255,0.09828812746036392,2.7772698551853727,0.34212693402552374,0.12576172017860404
VISpm,0.02453698039310696,0.16732256393435513,1.111192982834118,1.1834477619898984,0.043878076901334655,0.005279472096939013,0.008079060443639905,0.003516641283833301,0.01856800690205747,0.003032467457775162,0.0020603628735001685,0.32829721714563953,0.19263997169816016,0.888120330837102,1.7066793661730042,0.8554557691642168,0.049041074915467095
VISrl,0.34032624375652565,2.2916174663565996,0.31428367579260763,0.5889068638891278,1.964606002599677,0.14308601869671753,0.010195817072085283,0.012451362982109618,0.20844115364410545,0.09363161747615452,0.07571808323670569,0.7268273441534919,0.6265388859451495,0.33921614533215527,1.2357380083137834,0.3120720050482672,0.7460213187199846
