names,paths,durations,condition,mouse,sex,dataset,outlier,frameoffset,rec_id,height,width,computer,machine_p,filter,subject_id
Spontaneous_50Hz_filt01-15_float32_256-256-29983.raw,/scratch/davorcuric/raw_data/HcCx/CNO_high/568F_spontaneous_CNO_high,29983,"CNO_high",568,F,HcCx,0,1,1,256,256,carnot,float32,01-15,id_0287bcbdded71c53
Spontaneous_50Hz_filt01-15_float32_256-256-30012.raw,/scratch/davorcuric/raw_data/HcCx/CNO_high/569F_spontaneous_CNO_high,30012,"CNO_high",569,F,HcCx,0,1,2,256,256,carnot,float32,01-15,id_c65d54cc1dc381d2
Spontaneous_50Hz_filt01-15_float32_256-256-29988.raw,/scratch/davorcuric/raw_data/HcCx/CNO_high/574M_spontaneous_CNO_high,29988,"CNO_high",574,M,HcCx,0,1,3,256,256,carnot,float32,01-15,id_3fa863974e79853d
Spontaneous_50Hz_filt01-15_float32_256-256-29995.raw,/scratch/davorcuric/raw_data/HcCx/CNO_high/576F_spontaneous_CNO_high,29995,"CNO_high",576,F,HcCx,0,1,4,256,256,carnot,float32,01-15,id_85479a0747cae5f1
Spontaneous_50Hz_filt01-15_float32_256-256-29990.raw,/scratch/davorcuric/raw_data/HcCx/CNO_high/577F_spontaneous_CNO_high,29990,"CNO_high",577,F,HcCx,0,1,5,256,256,carnot,float32,01-15,id_246e4ce2fb2e8f48
Spontaneous_50Hz_filt01-15_float32_256-256-30000.raw,/scratch/davorcuric/raw_data/HcCx/CNO_high/579M_spontaneous_CNO_high,30000,"CNO_high",579,M,HcCx,0,1,6,256,256,carnot,float32,01-15,id_2f7b922eec4e2c36
Spontaneous_50Hz_filt01-15_float32_256-256-29988.raw,/scratch/davorcuric/raw_data/HcCx/CNO_low/575M_spontaneous_CNO_low,29988,"CNO_low",575,M,HcCx,0,1,7,256,256,carnot,float32,01-15,id_6d36ed4a02665118
Spontaneous_50Hz_filt01-15_float32_256-256-29989.raw,/scratch/davorcuric/raw_data/HcCx/CNO_low/576F_spontaneous_CNO_low,29989,"CNO_low",576,F,HcCx,0,1,8,256,256,carnot,float32,01-15,id_bdad425a0948a51a
Spontaneous_50Hz_filt01-15_float32_256-256-30004.raw,/scratch/davorcuric/raw_data/HcCx/VEH/568F_spontaneous_VEH,30004,"VEH",568,F,HcCx,0,1,9,256,256,carnot,float32,01-15,id_e44c8c91ffbc167f
Spontaneous_50Hz_filt01-15_float32_256-256-30005.raw,/scratch/davorcuric/raw_data/HcCx/VEH/569F_spontaneous_VEH,30005,"VEH",569,F,HcCx,0,1,10,256,256,carnot,float32,01-15,id_1edc8de7a081f2de
