names,paths,durations,condition,mouse,sex,dataset,outlier,frameoffset,rec_id,height,width,computer,machine_p,filter,subject_id
Spontaneous_50Hz_filt01-15_float32_256-256-22483.raw,raw_data/Microbeads/First arm/203F_Spontaneous_beads_+180min,22483,First arm  beads 180min,203,F,Microbeads,0,1,1,256,256,neumann,float32,01-15,id_88a0af0d45a63af8
Spontaneous_50Hz_filt01-15_float32_256-256-22476.raw,raw_data/Microbeads/First arm/203F_Spontaneous_beads_+24hrs,22476,First arm  beads 24hrs,203,F,Microbeads,0,1,2,256,256,neumann,float32,01-15,id_c5277a4948a67a0a
Spontaneous_50Hz_filt01-15_float32_256-256-22488.raw,raw_data/Microbeads/First arm/203F_Spontaneous_beads_+30min,22488,First arm  beads 30min,203,F,Microbeads,0,1,3,256,256,neumann,float32,01-15,id_2917d266701fc5b2
Spontaneous_50Hz_filt01-15_float32_256-256-22483.raw,raw_data/Microbeads/First arm/203F_Spontaneous_beads_+72hrs,22483,First arm  beads 72hrs,203,F,Microbeads,0,1,4,256,256,neumann,float32,01-15,id_8fbeb44e97c24ec9
Spontaneous_50Hz_filt01-15_float32_256-256-22469.raw,raw_data/Microbeads/First arm/203F_Spontaneous_beads_+90min,22469,First arm  beads 90min,203,F,Microbeads,0,1,5,256,256,neumann,float32,01-15,id_4edde112c0c188c6
Spontaneous_50Hz_filt01-15_float32_256-256-22485.raw,raw_data/Microbeads/First arm/203F_Spontaneous_beads_baseline,22485,First arm  beads baseline ,203,F,Microbeads,0,1,6,256,256,neumann,float32,01-15,id_7231338a114b7144
Spontaneous_50Hz_filt01-15_float32_256-256-22493.raw,raw_data/Microbeads/First arm/206F_Spontaneous_veh_+180min,22493,First arm  veh 180min,206,F,Microbeads,0,1,7,256,256,neumann,float32,01-15,id_d740c50553b11811
Spontaneous_50Hz_filt01-15_float32_256-256-22476.raw,raw_data/Microbeads/First arm/206F_Spontaneous_veh_+24hrs,22476,First arm  veh 24hrs,206,F,Microbeads,0,1,8,256,256,neumann,float32,01-15,id_9872eae7e4dcd199
Spontaneous_50Hz_filt01-15_float32_256-256-22471.raw,raw_data/Microbeads/First arm/206F_Spontaneous_veh_+30min,22471,First arm  veh 30min,206,F,Microbeads,0,1,9,256,256,neumann,float32,01-15,id_ae92c988f5d80786
Spontaneous_50Hz_filt01-15_float32_256-256-22483.raw,raw_data/Microbeads/First arm/206F_Spontaneous_veh_+72hrs,22483,First arm  veh 72hrs,206,F,Microbeads,0,1,10,256,256,neumann,float32,01-15,id_d69925080f1c0568
Spontaneous_50Hz_filt01-15_float32_256-256-22469.raw,raw_data/Microbeads/First arm/206F_Spontaneous_veh_+90min,22469,First arm  veh 90min,206,F,Microbeads,0,1,11,256,256,neumann,float32,01-15,id_94bb8a81efea2264
Spontaneous_50Hz_filt01-15_float32_256-256-22491.raw,raw_data/Microbeads/First arm/206F_Spontaneous_veh_baseline,22491,First arm  veh baseline ,206,F,Microbeads,0,1,12,256,256,neumann,float32,01-15,id_2bcaf3ecce267cd5
Spontaneous_50Hz_filt01-15_float32_256-256-22480.raw,raw_data/Microbeads/First arm/210M_Spontaneous_beads_+180,22480,First arm  beads 180min,210,M,Microbeads,0,1,13,256,256,neumann,float32,01-15,id_3f52cdb1d0e230d2
Spontaneous_50Hz_filt01-15_float32_256-256-22485.raw,raw_data/Microbeads/First arm/210M_Spontaneous_beads_+24hrs,22485,First arm  beads 24hrs,210,M,Microbeads,0,1,14,256,256,neumann,float32,01-15,id_070e9cfcc434e31e
Spontaneous_50Hz_filt01-15_float32_256-256-22489.raw,raw_data/Microbeads/First arm/210M_Spontaneous_beads_+30,22489,First arm  beads 30min,210,M,Microbeads,0,1,15,256,256,neumann,float32,01-15,id_b6e1576d008490fe
Spontaneous_50Hz_filt01-15_float32_256-256-22494.raw,raw_data/Microbeads/First arm/210M_Spontaneous_beads_+72hrs,22494,First arm  beads 72hrs,210,M,Microbeads,0,1,16,256,256,neumann,float32,01-15,id_9c4bdc23e7e74e54
Spontaneous_50Hz_filt01-15_float32_256-256-22484.raw,raw_data/Microbeads/First arm/210M_Spontaneous_beads_+90,22484,First arm  beads 90min,210,M,Microbeads,0,1,17,256,256,neumann,float32,01-15,id_ddf6bf209709e778
Spontaneous_50Hz_filt01-15_float32_256-256-22493.raw,raw_data/Microbeads/First arm/210M_Spontaneous_beads_baseline,22493,First arm  beads baseline ,210,M,Microbeads,0,1,18,256,256,neumann,float32,01-15,id_41554263f2724bb5
Spontaneous_50Hz_filt01-15_float32_256-256-22481.raw,raw_data/Microbeads/First arm/211F_Spontaneous_veh_+24hrs,22481,First arm  veh 24hrs,211,F,Microbeads,0,1,19,256,256,neumann,float32,01-15,id_ad2d075c9a89f5b9
Spontaneous_50Hz_filt01-15_float32_256-256-22471.raw,raw_data/Microbeads/First arm/211F_Spontaneous_veh_+30min,22471,First arm  veh 30min,211,F,Microbeads,0,1,20,256,256,neumann,float32,01-15,id_513be526728914e3
Spontaneous_50Hz_filt01-15_float32_256-256-22484.raw,raw_data/Microbeads/First arm/211F_Spontaneous_veh_+72hrs,22484,First arm  veh 72hrs,211,F,Microbeads,0,1,21,256,256,neumann,float32,01-15,id_0f1e4f9757074331
Spontaneous_50Hz_filt01-15_float32_256-256-22479.raw,raw_data/Microbeads/First arm/211F_Spontaneous_veh_+90min,22479,First arm  veh 90min,211,F,Microbeads,0,1,22,256,256,neumann,float32,01-15,id_6e63f9d6a69cc9b0
Spontaneous_50Hz_filt01-15_float32_256-256-22493.raw,raw_data/Microbeads/First arm/211F_Spontaneous_veh_baseline,22493,First arm  veh baseline ,211,F,Microbeads,0,1,23,256,256,neumann,float32,01-15,id_f5aa2de77505e9b2
Spontaneous_50Hz_filt01-15_float32_256-256-22483.raw,raw_data/Microbeads/First arm/212F_Spontaneous_beads_+180min,22483,First arm  beads 180min,212,F,Microbeads,0,1,24,256,256,neumann,float32,01-15,id_f3a28cf1723e09ff
Spontaneous_50Hz_filt01-15_float32_256-256-22488.raw,raw_data/Microbeads/First arm/212F_Spontaneous_beads_+24hrs,22488,First arm  beads 24hrs,212,F,Microbeads,0,1,25,256,256,neumann,float32,01-15,id_509e2af26f7d947a
Spontaneous_50Hz_filt01-15_float32_256-256-22469.raw,raw_data/Microbeads/First arm/212F_Spontaneous_beads_+30min,22469,First arm  beads 30min,212,F,Microbeads,0,1,26,256,256,neumann,float32,01-15,id_d1e321a6818588f6
Spontaneous_50Hz_filt01-15_float32_256-256-22494.raw,raw_data/Microbeads/First arm/212F_Spontaneous_beads_+72hrs,22494,First arm  beads 72hrs,212,F,Microbeads,0,1,27,256,256,neumann,float32,01-15,id_88770e9e0dc9cb53
Spontaneous_50Hz_filt01-15_float32_256-256-22469.raw,raw_data/Microbeads/First arm/212F_Spontaneous_beads_+90min,22469,First arm  beads 90min,212,F,Microbeads,0,1,28,256,256,neumann,float32,01-15,id_f975dd8693c07b84
Spontaneous_50Hz_filt01-15_float32_256-256-22486.raw,raw_data/Microbeads/First arm/212F_Spontaneous_beads_baseline,22486,First arm  beads baseline ,212,F,Microbeads,0,1,29,256,256,neumann,float32,01-15,id_f55f6739b5cc8ec4
Spontaneous_50Hz_filt01-15_float32_256-256-22490.raw,raw_data/Microbeads/First arm/212F_Spontaneous_veh_+180min,22490,First arm  veh 180min,212,F,Microbeads,0,1,30,256,256,neumann,float32,01-15,id_7dfb95b8172e9991
Spontaneous_50Hz_filt01-15_float32_256-256-22486.raw,raw_data/Microbeads/First arm/215M_Spontaneous_beads_+180,22486,First arm  beads 180min,215,M,Microbeads,0,1,31,256,256,neumann,float32,01-15,id_740d84d6cf4e1e72
Spontaneous_50Hz_filt01-15_float32_256-256-22480.raw,raw_data/Microbeads/First arm/215M_Spontaneous_beads_+24hrs,22480,First arm  beads 24hrs,215,M,Microbeads,0,1,32,256,256,neumann,float32,01-15,id_85b3e8762f2f99dc
Spontaneous_50Hz_filt01-15_float32_256-256-22483.raw,raw_data/Microbeads/First arm/215M_Spontaneous_beads_+30,22483,First arm  beads 30min,215,M,Microbeads,0,1,33,256,256,neumann,float32,01-15,id_9a6f26b13713d313
Spontaneous_50Hz_filt01-15_float32_256-256-22478.raw,raw_data/Microbeads/First arm/215M_Spontaneous_beads_+72hrs,22478,First arm  beads 72hrs,215,M,Microbeads,0,1,34,256,256,neumann,float32,01-15,id_6cea582a9ec340c1
Spontaneous_50Hz_filt01-15_float32_256-256-22478.raw,raw_data/Microbeads/First arm/215M_Spontaneous_beads_+90,22478,First arm  beads 90min,215,M,Microbeads,0,1,35,256,256,neumann,float32,01-15,id_f9c9486ffbf9635a
Spontaneous_50Hz_filt01-15_float32_256-256-22480.raw,raw_data/Microbeads/First arm/215M_Spontaneous_beads_baseline,22480,First arm  beads baseline ,215,M,Microbeads,0,1,36,256,256,neumann,float32,01-15,id_ded43082880c9f6a
Spontaneous_50Hz_filt01-15_float32_256-256-22487.raw,raw_data/Microbeads/First arm/216M_Spontaneous_veh_+180,22487,First arm  veh 180min,216,M,Microbeads,0,1,37,256,256,neumann,float32,01-15,id_fb1dec898797a111
Spontaneous_50Hz_filt01-15_float32_256-256-22483.raw,raw_data/Microbeads/First arm/216M_Spontaneous_veh_+24hrs,22483,First arm  veh 24hrs,216,M,Microbeads,0,1,38,256,256,neumann,float32,01-15,id_4cbc58a3a0ed5e36
Spontaneous_50Hz_filt01-15_float32_256-256-22485.raw,raw_data/Microbeads/First arm/216M_Spontaneous_veh_+30,22485,First arm  veh 30min,216,M,Microbeads,0,1,39,256,256,neumann,float32,01-15,id_d281d460aaf442d9
Spontaneous_50Hz_filt01-15_float32_256-256-22483.raw,raw_data/Microbeads/First arm/216M_Spontaneous_veh_+72hrs,22483,First arm  veh 72hrs,216,M,Microbeads,0,1,40,256,256,neumann,float32,01-15,id_aacf229a1d32b5b3
Spontaneous_50Hz_filt01-15_float32_256-256-22483.raw,raw_data/Microbeads/First arm/216M_Spontaneous_veh_+90,22483,First arm  veh 90min,216,M,Microbeads,0,1,41,256,256,neumann,float32,01-15,id_c2437f8a1478072b
Spontaneous_50Hz_filt01-15_float32_256-256-22487.raw,raw_data/Microbeads/First arm/216M_Spontaneous_veh_baseline,22487,First arm  veh baseline ,216,M,Microbeads,0,1,42,256,256,neumann,float32,01-15,id_749da476e0320d93
Spontaneous_50Hz_filt01-15_float32_256-256-22482.raw,raw_data/Microbeads/First arm/217M_Spontaneous_veh_+180,22482,First arm  veh 180min,217,M,Microbeads,0,1,43,256,256,neumann,float32,01-15,id_d83fd4bd11914618
Spontaneous_50Hz_filt01-15_float32_256-256-22490.raw,raw_data/Microbeads/First arm/217M_Spontaneous_veh_+24hrs,22490,First arm  veh 24hrs,217,M,Microbeads,0,1,44,256,256,neumann,float32,01-15,id_f0efd3e6ad89844c
Spontaneous_50Hz_filt01-15_float32_256-256-22483.raw,raw_data/Microbeads/First arm/217M_Spontaneous_veh_+30,22483,First arm  veh 30min,217,M,Microbeads,0,1,45,256,256,neumann,float32,01-15,id_c4c0591141c0ac57
Spontaneous_50Hz_filt01-15_float32_256-256-22488.raw,raw_data/Microbeads/First arm/217M_Spontaneous_veh_+72hrs,22488,First arm  veh 72hrs,217,M,Microbeads,0,1,46,256,256,neumann,float32,01-15,id_53097428d6f8df70
Spontaneous_50Hz_filt01-15_float32_256-256-22491.raw,raw_data/Microbeads/First arm/217M_Spontaneous_veh_+90,22491,First arm  veh 90min,217,M,Microbeads,0,1,47,256,256,neumann,float32,01-15,id_6d059c863f29fb19
Spontaneous_50Hz_filt01-15_float32_256-256-22487.raw,raw_data/Microbeads/First arm/217M_Spontaneous_veh_baseline,22487,First arm  veh baseline ,217,M,Microbeads,0,1,48,256,256,neumann,float32,01-15,id_d4297ec36447d4a0
Spontaneous_50Hz_filt01-15_float32_256-256-22468.raw,raw_data/Microbeads/Second arm/Second arm/203F_Spontaneous_veh_+180,22468,First arm  veh 180min,203,F,Microbeads,0,1,49,256,256,neumann,float32,01-15,id_1c2f5df4fc4616f9
Spontaneous_50Hz_filt01-15_float32_256-256-22484.raw,raw_data/Microbeads/Second arm/Second arm/203F_Spontaneous_veh_+24hrs,22484,First arm  veh 24hrs,203,F,Microbeads,0,1,50,256,256,neumann,float32,01-15,id_05b5f9a2c7fce63a
Spontaneous_50Hz_filt01-15_float32_256-256-22469.raw,raw_data/Microbeads/Second arm/Second arm/203F_Spontaneous_veh_+30,22469,First arm  veh 30min,203,F,Microbeads,0,1,51,256,256,neumann,float32,01-15,id_5a75b386e108e6ba
Spontaneous_50Hz_filt01-15_float32_256-256-22469.raw,raw_data/Microbeads/Second arm/Second arm/203F_Spontaneous_veh_+90,22469,First arm  veh 90min,203,F,Microbeads,0,1,52,256,256,neumann,float32,01-15,id_2d1b54e66577cc58
Spontaneous_50Hz_filt01-15_float32_256-256-22500.raw,raw_data/Microbeads/Second arm/Second arm/203F_Spontaneous_veh_+96hrs,22500,First arm  veh 90min,203,F,Microbeads,0,1,53,256,256,neumann,float32,01-15,id_e0e7546b0f733f28
Spontaneous_50Hz_filt01-15_float32_256-256-22483.raw,raw_data/Microbeads/Second arm/Second arm/203F_Spontaneous_veh_baseline,22483,First arm  veh baseline ,203,F,Microbeads,0,1,54,256,256,neumann,float32,01-15,id_1aa98554ef2ab6f6
Spontaneous_50Hz_filt01-15_float32_256-256-22472.raw,raw_data/Microbeads/Second arm/Second arm/206F_Spontaneous_beads_+180,22472,First arm  beads 180min,206,F,Microbeads,0,1,55,256,256,neumann,float32,01-15,id_3830fa8051bab51b
Spontaneous_50Hz_filt01-15_float32_256-256-22482.raw,raw_data/Microbeads/Second arm/Second arm/206F_Spontaneous_beads_+24hrs,22482,First arm  beads 24hrs,206,F,Microbeads,0,1,56,256,256,neumann,float32,01-15,id_aebdb956ffbdbdeb
Spontaneous_50Hz_filt01-15_float32_256-256-22471.raw,raw_data/Microbeads/Second arm/Second arm/206F_Spontaneous_beads_+30,22471,First arm  beads 30min,206,F,Microbeads,0,1,57,256,256,neumann,float32,01-15,id_b2b91238279d2373
Spontaneous_50Hz_filt01-15_float32_256-256-22469.raw,raw_data/Microbeads/Second arm/Second arm/206F_Spontaneous_beads_+90,22469,First arm  beads 90min,206,F,Microbeads,0,1,58,256,256,neumann,float32,01-15,id_7524b52a575e3bf5
